file_ID,author,lab,label,particle_type,run_oldID,setup,phi (-),d (m),rho_p (kg/m3),v_s (m/s),alpha (deg.),rho_a (kg/m3),rho_f (kg/m3),nu_f (kg/(m.s)),nu_a (kg/(m.s)),T_a (deg. celsius),T_f (deg. celsius),L0 (m),W0 (m),H0 (m),H_a (m),L_1 (m),vs (m/s),rho_c (kg/m3),gprime (m/s2),u0 (m/s),a (-),Re (-),At (-),St (-),Fr (-),L (-)
run_026.nc,Cyril,IMFT,run_026.nc,silica sand,Slope1 -- manip02,IMFT,4.053e-02,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.065e+03,6.582e-01,3.661e-01,2.056e+00,7.937e+04,6.710e-02,3.313e-02,3.186e-01,-1.167e-03
run_027.nc,Cyril,IMFT,run_027.nc,silica sand,Slope1 -- manip03,IMFT,2.075e-02,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.032e+03,3.369e-01,2.619e-01,2.056e+00,5.504e+04,3.435e-02,4.630e-02,3.592e-01,9.884e-04
run_028.nc,Cyril,IMFT,run_028.nc,silica sand,Slope1 -- manip04,IMFT,5.019e-02,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.081e+03,8.149e-01,4.073e-01,2.056e+00,8.963e+04,8.307e-02,2.977e-02,3.714e-01,2.393e-04
run_029.nc,Cyril,IMFT,run_029.nc,silica sand,Slope1 -- manip05,IMFT,6.370e-02,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.103e+03,1.034e+00,4.589e-01,2.056e+00,1.031e+05,1.054e-01,2.643e-02,4.077e-01,3.742e-03
run_030.nc,Cyril,IMFT,run_030.nc,silica sand,Slope1 -- manip06,IMFT,1.448e-02,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.022e+03,2.351e-01,2.188e-01,2.056e+00,4.551e+04,2.396e-02,5.543e-02,3.615e-01,2.052e-03
run_031.nc,Cyril,IMFT,run_031.nc,silica sand,Slope1 -- manip07,IMFT,8.686e-03,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.012e+03,1.410e-01,1.695e-01,2.056e+00,3.492e+04,1.438e-02,7.156e-02,3.934e-01,6.138e-03
run_032.nc,Cyril,IMFT,run_032.nc,silica sand,Slope1 -- manip08,IMFT,7.914e-02,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.129e+03,1.285e+00,5.115e-01,2.056e+00,1.175e+05,1.310e-01,2.371e-02,3.941e-01,2.543e-03
run_033.nc,Cyril,IMFT,run_033.nc,silica sand,Slope1 -- manip09,IMFT,1.013e-01,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.165e+03,1.646e+00,5.788e-01,2.056e+00,1.373e+05,1.677e-01,2.095e-02,4.156e-01,3.053e-03
run_034.nc,Cyril,IMFT,run_034.nc,silica sand,Slope1 -- manip10,IMFT,6.756e-03,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.009e+03,1.097e-01,1.494e-01,2.056e+00,3.070e+04,1.118e-02,8.114e-02,4.216e-01,8.875e-03
run_035.nc,Cyril,IMFT,run_035.nc,silica sand,Slope1 -- manip11,IMFT,1.013e-01,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.165e+03,1.646e+00,5.788e-01,2.056e+00,1.373e+05,1.677e-01,2.095e-02,4.230e-01,2.797e-03
run_036.nc,Cyril,IMFT,run_036.nc,silica sand,Slope1 -- manip12,IMFT,1.013e-01,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.165e+03,1.646e+00,5.788e-01,2.056e+00,1.373e+05,1.677e-01,2.095e-02,4.211e-01,7.272e-03
run_037.nc,Cyril,IMFT,run_037.nc,silica sand,Slope1 -- manip13,IMFT,6.756e-03,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.009e+03,1.097e-01,1.494e-01,2.056e+00,3.070e+04,1.118e-02,8.114e-02,3.702e-01,6.540e-03
