file_ID,author,lab,label,particle_type,run_oldID,setup,phi (-),d (m),rho_p (kg/m3),v_s (m/s),alpha (deg.),rho_a (kg/m3),rho_f (kg/m3),nu_f (kg/(m.s)),nu_a (kg/(m.s)),T_a (deg. celsius),T_f (deg. celsius),L0 (m),W0 (m),H0 (m),H_a (m),L_1 (m),vs (m/s),rho_c (kg/m3),gprime (m/s2),u0 (m/s),t0 (s),a (-),Re (-),At (-),St (-),Fr (-),lamb (-)
run_023.nc,Cyril,IMFT,run_023.nc,glass beads,silibeads200m_300m -- run04,IMFT,9.721e-02,2.500e-04,2.650e+03,3.185e-02,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,5.631e-02,1.158e+03,1.581e+00,5.630e-01,1.758e-01,2.042e+00,1.317e+05,1.612e-01,1.000e-01,5.055e-01,1.328e-02
run_024.nc,Cyril,IMFT,run_024.nc,glass beads,silibeads200m_300m -- run05,IMFT,8.749e-03,2.500e-04,2.650e+03,3.185e-02,7.240e+00,9.970e+02,9.970e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.021e-01,nan,nan,5.631e-02,1.011e+03,1.423e-01,1.689e-01,5.861e-01,2.042e+00,3.453e+04,1.451e-02,3.333e-01,3.834e-01,3.567e-02
run_025.nc,Cyril,IMFT,run_025.nc,silica sand,Slope1 -- manip01,IMFT,2.944e-02,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.047e+03,4.780e-01,3.119e-01,3.174e-01,2.056e+00,6.646e+04,4.873e-02,3.888e-02,4.228e-01,5.836e-03
run_026.nc,Cyril,IMFT,run_026.nc,silica sand,Slope1 -- manip02,IMFT,4.053e-02,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.065e+03,6.582e-01,3.660e-01,2.705e-01,2.056e+00,7.936e+04,6.710e-02,3.313e-02,3.186e-01,-1.832e-03
run_027.nc,Cyril,IMFT,run_027.nc,silica sand,Slope1 -- manip03,IMFT,2.075e-02,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.032e+03,3.369e-01,2.619e-01,3.780e-01,2.056e+00,5.504e+04,3.435e-02,4.630e-02,3.592e-01,1.376e-03
run_028.nc,Cyril,IMFT,run_028.nc,silica sand,Slope1 -- manip04,IMFT,5.019e-02,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.081e+03,8.149e-01,4.073e-01,2.431e-01,2.056e+00,8.963e+04,8.307e-02,2.977e-02,3.715e-01,3.222e-04
run_029.nc,Cyril,IMFT,run_029.nc,silica sand,Slope1 -- manip05,IMFT,6.370e-02,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.103e+03,1.034e+00,4.589e-01,2.158e-01,2.056e+00,1.031e+05,1.054e-01,2.643e-02,4.078e-01,4.589e-03
run_030.nc,Cyril,IMFT,run_030.nc,silica sand,Slope1 -- manip06,IMFT,1.448e-02,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.022e+03,2.351e-01,2.188e-01,4.526e-01,2.056e+00,4.551e+04,2.396e-02,5.544e-02,3.616e-01,2.838e-03
run_031.nc,Cyril,IMFT,run_031.nc,silica sand,Slope1 -- manip07,IMFT,8.686e-03,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.012e+03,1.410e-01,1.694e-01,5.843e-01,2.056e+00,3.492e+04,1.438e-02,7.157e-02,3.934e-01,7.802e-03
run_032.nc,Cyril,IMFT,run_032.nc,silica sand,Slope1 -- manip08,IMFT,7.914e-02,1.161e-04,2.650e+03,7.400e-03,8.900e-01,9.980e+02,9.980e+02,nan,nan,2.000e+01,2.000e+01,9.900e-02,1.940e-01,2.036e-01,nan,nan,1.213e-02,1.129e+03,1.285e+00,5.115e-01,1.936e-01,2.056e+00,1.175e+05,1.310e-01,2.371e-02,3.941e-01,3.226e-03
